dataset,seed,nominal,coverage,median_radius_m
UJIIndoorLoc,66,0.9000000000000004,0.918991899189919,17.570686100931752
UJIIndoorLoc,66,0.9500000000000004,0.9603960396039604,23.789316042226016
UJIIndoorLoc,77,0.5,0.5877587758775877,8.150275483669501
UJIIndoorLoc,77,0.55,0.6498649864986499,9.976381174895481
UJIIndoorLoc,77,0.6000000000000001,0.7065706570657065,12.805921522935861
UJIIndoorLoc,77,0.6500000000000001,0.7515751575157515,16.712955713856793
UJIIndoorLoc,77,0.7000000000000002,0.7920792079207921,21.016300355374078
UJIIndoorLoc,77,0.7500000000000002,0.8361836183618362,25.827311341520428
UJIIndoorLoc,77,0.8000000000000003,0.8595859585958596,32.40225244755477
UJIIndoorLoc,77,0.8500000000000003,0.8973897389738974,43.62802077559217
UJIIndoorLoc,77,0.9000000000000004,0.9405940594059405,59.649474778832875
UJIIndoorLoc,77,0.9500000000000004,0.9846984698469847,102.96512945830136
UJIIndoorLoc,88,0.5,0.42844284428442847,5.504229859726914
UJIIndoorLoc,88,0.55,0.49234923492349236,6.2802725327309235
UJIIndoorLoc,88,0.6000000000000001,0.5508550855085509,6.999379561455062
UJIIndoorLoc,88,0.6500000000000001,0.6039603960396039,7.858572902248298
UJIIndoorLoc,88,0.7000000000000002,0.6714671467146714,8.974418433025727
UJIIndoorLoc,88,0.7500000000000002,0.7128712871287128,10.096084878271384
UJIIndoorLoc,88,0.8000000000000003,0.7776777677767777,11.648297083932276
UJIIndoorLoc,88,0.8500000000000003,0.8532853285328533,14.314800015413159
UJIIndoorLoc,88,0.9000000000000004,0.9315931593159316,18.759031402553738
UJIIndoorLoc,88,0.9500000000000004,0.972997299729973,26.104204057930904
UJIIndoorLoc,99,0.5,0.47704770477047703,5.922604969481072
UJIIndoorLoc,99,0.55,0.5364536453645364,6.720786340047329
UJIIndoorLoc,99,0.6000000000000001,0.594059405940594,7.525019548173712
UJIIndoorLoc,99,0.6500000000000001,0.6507650765076508,8.476680512088302
UJIIndoorLoc,99,0.7000000000000002,0.7110711071107111,9.64258178579436
UJIIndoorLoc,99,0.7500000000000002,0.7623762376237624,11.12344372604481
UJIIndoorLoc,99,0.8000000000000003,0.8091809180918091,12.944262101838412
UJIIndoorLoc,99,0.8500000000000003,0.8766876687668766,16.917768141131866
UJIIndoorLoc,99,0.9000000000000004,0.9198919891989199,24.1360948697499
UJIIndoorLoc,99,0.9500000000000004,0.9621962196219622,39.21938582210138
UJIIndoorLoc,111,0.5,0.4608460846084608,5.637028495628191
UJIIndoorLoc,111,0.55,0.5094509450945095,6.287751840582677
UJIIndoorLoc,111,0.6000000000000001,0.5652565256525652,6.9685150479018905
UJIIndoorLoc,111,0.6500000000000001,0.621962196219622,7.830849997179754
UJIIndoorLoc,111,0.7000000000000002,0.6687668766876688,8.754581056404131
UJIIndoorLoc,111,0.7500000000000002,0.7191719171917191,9.803175156180764
UJIIndoorLoc,111,0.8000000000000003,0.7821782178217822,11.344250135272754
UJIIndoorLoc,111,0.8500000000000003,0.8343834383438344,12.937688199819615
UJIIndoorLoc,111,0.9000000000000004,0.8892889288928892,15.362148513835093
UJIIndoorLoc,111,0.9500000000000004,0.946894689468947,21.302600487666314
UTSIndoorLoc,11,0.5,0.5979381443298969,7.526085525103836
UTSIndoorLoc,11,0.55,0.6262886597938144,8.499723971210944
UTSIndoorLoc,11,0.6000000000000001,0.6984536082474226,10.352114413294437
UTSIndoorLoc,11,0.6500000000000001,0.7474226804123711,12.002447344726022
UTSIndoorLoc,11,0.7000000000000002,0.7603092783505154,12.511539251491278
UTSIndoorLoc,11,0.7500000000000002,0.8221649484536082,14.821133665028805
UTSIndoorLoc,11,0.8000000000000003,0.9175257731958762,19.57055200431163
UTSIndoorLoc,11,0.8500000000000003,0.9587628865979382,24.719368052936264
UTSIndoorLoc,11,0.9000000000000004,0.9845360824742269,32.84000283314985
UTSIndoorLoc,11,0.9500000000000004,0.9896907216494846,47.27593500868542
UTSIndoorLoc,22,0.5,0.44072164948453607,5.700416230155127
UTSIndoorLoc,22,0.55,0.5103092783505154,6.374667427938213
UTSIndoorLoc,22,0.6000000000000001,0.5541237113402062,7.064155883698933
UTSIndoorLoc,22,0.6500000000000001,0.6314432989690721,8.048201617268115
UTSIndoorLoc,22,0.7000000000000002,0.6494845360824743,8.634763969788391
UTSIndoorLoc,22,0.7500000000000002,0.7164948453608248,9.991220628436068
UTSIndoorLoc,22,0.8000000000000003,0.8118556701030928,12.630301899919854
UTSIndoorLoc,22,0.8500000000000003,0.8479381443298969,14.877099020094356
UTSIndoorLoc,22,0.9000000000000004,0.8943298969072165,18.499223017246326
UTSIndoorLoc,22,0.9500000000000004,0.9664948453608248,31.173609662597006
UTSIndoorLoc,33,0.5,0.4742268041237113,5.801635441019164
UTSIndoorLoc,33,0.55,0.5,6.186701104782454
UTSIndoorLoc,33,0.6000000000000001,0.5798969072164949,6.937985179680737
UTSIndoorLoc,33,0.6500000000000001,0.6649484536082474,8.147595541084822
UTSIndoorLoc,33,0.7000000000000002,0.6958762886597938,8.959256098844836
UTSIndoorLoc,33,0.7500000000000002,0.7242268041237113,9.528587665589804
UTSIndoorLoc,33,0.8000000000000003,0.7835051546391752,11.241405796551392
UTSIndoorLoc,33,0.8500000000000003,0.8814432989690721,15.129183621301873
UTSIndoorLoc,33,0.9000000000000004,0.9664948453608248,24.313255756119755
UTSIndoorLoc,33,0.9500000000000004,0.9948453608247423,46.592040185380924
UTSIndoorLoc,44,0.5,0.4793814432989691,5.488506627109748
UTSIndoorLoc,44,0.55,0.5257731958762887,6.025959588235975
UTSIndoorLoc,44,0.6000000000000001,0.5798969072164949,6.651426952677123
UTSIndoorLoc,44,0.6500000000000001,0.5927835051546392,6.848805191409264
UTSIndoorLoc,44,0.7000000000000002,0.6417525773195877,7.694393102914737
UTSIndoorLoc,44,0.7500000000000002,0.6958762886597938,8.612229839583087
UTSIndoorLoc,44,0.8000000000000003,0.7654639175257731,10.167685779009116
UTSIndoorLoc,44,0.8500000000000003,0.8092783505154639,11.773338524489265
UTSIndoorLoc,44,0.9000000000000004,0.9329896907216495,18.51006095235772
UTSIndoorLoc,44,0.9500000000000004,0.9716494845360825,28.750552268258204
UTSIndoorLoc,55,0.5,0.5103092783505154,5.539175446726849
UTSIndoorLoc,55,0.55,0.5541237113402062,6.141256499085806
UTSIndoorLoc,55,0.6000000000000001,0.6108247422680413,6.941555230242337
UTSIndoorLoc,55,0.6500000000000001,0.6365979381443299,7.429604495928793
UTSIndoorLoc,55,0.7000000000000002,0.7061855670103093,8.649348878223499
UTSIndoorLoc,55,0.7500000000000002,0.7448453608247423,9.742161444400871
UTSIndoorLoc,55,0.8000000000000003,0.8479381443298969,12.566248451822778
UTSIndoorLoc,55,0.8500000000000003,0.9072164948453608,14.823213601166088
UTSIndoorLoc,55,0.9000000000000004,0.9304123711340206,19.30714222967279
UTSIndoorLoc,55,0.9500000000000004,0.9768041237113402,37.68103837588041
UTSIndoorLoc,66,0.5,0.4097938144329897,5.054016825854155
UTSIndoorLoc,66,0.55,0.4690721649484536,5.798997529155804
UTSIndoorLoc,66,0.6000000000000001,0.5154639175257731,6.309468718178264
UTSIndoorLoc,66,0.6500000000000001,0.5592783505154639,6.881108045019643
UTSIndoorLoc,66,0.7000000000000002,0.6211340206185567,7.772533773258429
UTSIndoorLoc,66,0.7500000000000002,0.7268041237113402,9.076828978940124
UTSIndoorLoc,66,0.8000000000000003,0.8298969072164949,11.546727156360994
UTSIndoorLoc,66,0.8500000000000003,0.8994845360824743,14.302732353720183
UTSIndoorLoc,66,0.9000000000000004,0.9432989690721649,17.504883072405224
UTSIndoorLoc,66,0.9500000000000004,0.9819587628865979,32.515837405345565
UTSIndoorLoc,77,0.5,0.4690721649484536,5.659988122266199
UTSIndoorLoc,77,0.55,0.4896907216494845,5.844403763255627
UTSIndoorLoc,77,0.6000000000000001,0.5515463917525774,6.704844357749993
UTSIndoorLoc,77,0.6500000000000001,0.595360824742268,7.492217772816554
UTSIndoorLoc,77,0.7000000000000002,0.6778350515463918,8.684319887795848
UTSIndoorLoc,77,0.7500000000000002,0.7371134020618557,10.053158713179709
UTSIndoorLoc,77,0.8000000000000003,0.7963917525773195,11.718351909197402
UTSIndoorLoc,77,0.8500000000000003,0.8247422680412371,12.61292994851441
UTSIndoorLoc,77,0.9000000000000004,0.8762886597938144,14.869608697732538
UTSIndoorLoc,77,0.9500000000000004,0.9510309278350515,20.750268571867423
UTSIndoorLoc,88,0.5,0.4381443298969072,5.069511908075537
UTSIndoorLoc,88,0.55,0.4536082474226804,5.293624625912381
UTSIndoorLoc,88,0.6000000000000001,0.5,5.964755997156404
UTSIndoorLoc,88,0.6500000000000001,0.5695876288659794,6.959382626201043
UTSIndoorLoc,88,0.7000000000000002,0.6417525773195877,8.01278899273492
UTSIndoorLoc,88,0.7500000000000002,0.7474226804123711,9.384003244709039
UTSIndoorLoc,88,0.8000000000000003,0.8556701030927835,11.851216836128888
UTSIndoorLoc,88,0.8500000000000003,0.8994845360824743,14.353423772174592
UTSIndoorLoc,88,0.9000000000000004,0.9329896907216495,18.278038293414166
UTSIndoorLoc,88,0.9500000000000004,0.9845360824742269,30.37276454234966
UTSIndoorLoc,99,0.5,0.3634020618556701,4.772327086664697
UTSIndoorLoc,99,0.55,0.41494845360824745,5.249752966340204
UTSIndoorLoc,99,0.6000000000000001,0.4484536082474227,5.591415364563014
UTSIndoorLoc,99,0.6500000000000001,0.49742268041237114,6.368237292107197
UTSIndoorLoc,99,0.7000000000000002,0.5463917525773195,6.971893768050944
UTSIndoorLoc,99,0.7500000000000002,0.6108247422680413,7.732429651644345
UTSIndoorLoc,99,0.8000000000000003,0.6932989690721649,9.169212368383546
UTSIndoorLoc,99,0.8500000000000003,0.7577319587628866,10.37855861513868
UTSIndoorLoc,99,0.9000000000000004,0.8092783505154639,11.322887115134497
UTSIndoorLoc,99,0.9500000000000004,0.9201030927835051,16.432180740908986
UTSIndoorLoc,111,0.5,0.39948453608247425,5.105813820749999
UTSIndoorLoc,111,0.55,0.4252577319587629,5.417950963004877
UTSIndoorLoc,111,0.6000000000000001,0.49226804123711343,6.145308500372851
UTSIndoorLoc,111,0.6500000000000001,0.5541237113402062,6.973388939248842
UTSIndoorLoc,111,0.7000000000000002,0.5979381443298969,7.415680122044012
UTSIndoorLoc,111,0.7500000000000002,0.6237113402061856,8.056068666029677
UTSIndoorLoc,111,0.8000000000000003,0.6726804123711341,8.887891604605777
UTSIndoorLoc,111,0.8500000000000003,0.7783505154639175,10.08026626671917
UTSIndoorLoc,111,0.9000000000000004,0.8685567010309279,12.331195694918438
UTSIndoorLoc,111,0.9500000000000004,0.9432989690721649,17.339438010879327
Tampere,11,0.5,0.46435845213849286,5.7398280597342755
Tampere,11,0.55,0.5274949083503055,6.509277097268072
Tampere,11,0.6000000000000001,0.6140529531568228,7.96779126266898
Tampere,11,0.6500000000000001,0.6425661914460286,8.649073695286138
Tampere,11,0.7000000000000002,0.7158859470468432,10.267275506973785
Tampere,11,0.7500000000000002,0.7484725050916496,11.301487832918081
Tampere,11,0.8000000000000003,0.7759674134419552,12.204327328178785
Tampere,11,0.8500000000000003,0.8126272912423625,14.244478470277077
Tampere,11,0.9000000000000004,0.8564154786150713,16.374792760523654
Tampere,11,0.9500000000000004,0.8727087576374746,17.92798337856877
Tampere,22,0.5,0.40427698574338083,5.817866458468439
Tampere,22,0.55,0.4287169042769857,6.118749471927211
Tampere,22,0.6000000000000001,0.46741344195519346,6.610965915850556
Tampere,22,0.6500000000000001,0.5203665987780041,7.312881493608723
Tampere,22,0.7000000000000002,0.6221995926680245,8.49950695783422
Tampere,22,0.7500000000000002,0.6792260692464358,9.36938549478398
Tampere,22,0.8000000000000003,0.6934826883910387,9.594798450432304
Tampere,22,0.8500000000000003,0.7484725050916496,10.35604160754244
Tampere,22,0.9000000000000004,0.8421588594704684,12.161230229105794
Tampere,22,0.9500000000000004,0.9236252545824847,14.318719519838838
Tampere,33,0.5,0.4409368635437882,6.086734923987471
Tampere,33,0.55,0.4745417515274949,6.626181711813002
Tampere,33,0.6000000000000001,0.5132382892057027,7.076197872812546
Tampere,33,0.6500000000000001,0.620162932790224,8.397587127817088
Tampere,33,0.7000000000000002,0.6731160896130346,9.244785711444827
Tampere,33,0.7500000000000002,0.7077393075356415,9.956377538571278
Tampere,33,0.8000000000000003,0.7281059063136456,10.455644175062185
Tampere,33,0.8500000000000003,0.7688391038696538,11.527260982043542
Tampere,33,0.9000000000000004,0.879837067209776,14.598550274110053
Tampere,33,0.9500000000000004,0.9226069246435845,17.05548565289443
Tampere,44,0.5,0.3890020366598778,4.734188406975937
Tampere,44,0.55,0.43380855397148677,5.140800571935834
Tampere,44,0.6000000000000001,0.4786150712830957,5.45815738232868
Tampere,44,0.6500000000000001,0.575356415478615,6.505975005071411
Tampere,44,0.7000000000000002,0.6181262729124236,7.034401837750806
Tampere,44,0.7500000000000002,0.714867617107943,8.355777224307872
Tampere,44,0.8000000000000003,0.7708757637474541,9.436721436733503
Tampere,44,0.8500000000000003,0.8329938900203666,10.833916643581937
Tampere,44,0.9000000000000004,0.9266802443991853,14.412351969250217
Tampere,44,0.9500000000000004,0.9643584521384929,18.89352199944816
Tampere,55,0.5,0.34521384928716903,5.193260173210821
Tampere,55,0.55,0.3665987780040733,5.513097540985854
Tampere,55,0.6000000000000001,0.3757637474541752,5.6559789932293665
Tampere,55,0.6500000000000001,0.4195519348268839,6.129952173644121
Tampere,55,0.7000000000000002,0.4755600814663951,6.910977567569996
Tampere,55,0.7500000000000002,0.5346232179226069,7.652501211515894
Tampere,55,0.8000000000000003,0.5804480651731161,8.285226031360935
Tampere,55,0.8500000000000003,0.6680244399185336,9.367456841409737
Tampere,55,0.9000000000000004,0.7535641547861507,10.485648132768187
Tampere,55,0.9500000000000004,0.9042769857433809,12.941778717401952
Tampere,66,0.5,0.5224032586558045,6.278620985320955
Tampere,66,0.55,0.5804480651731161,7.024168913462356
Tampere,66,0.6000000000000001,0.6313645621181263,7.823537411083377
Tampere,66,0.6500000000000001,0.7260692464358453,9.739517207057844
Tampere,66,0.7000000000000002,0.769857433808554,11.191807567496642
