dataset,dataset_key,seed,method,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,p99_m,cvar90_m,cvar95_m,max_m,mae_x_m,mae_y_m,within_1m,within_3m,within_5m,within_10m,floor_accuracy,building_accuracy
UTSIndoorLoc,uts,11,CNN-RSS-reimpl,8.40583324432373,7.0931901931762695,9.962858200073242,10.975228309631348,15.728298377990722,17.485145950317378,25.829835796356196,19.9404296875,23.123382568359375,35.13517761230469,7.199984550476074,3.016254425048828,0.0,0.10309278350515463,0.31958762886597936,0.711340206185567,0.8530927835051546,1.0
UTSIndoorLoc,uts,11,AaT-base-reimpl,7.56740665435791,6.81920862197876,9.081892967224121,9.55982756614685,12.131986808776858,16.983238029479974,28.92508371353149,18.58635139465332,23.142574310302734,37.12135314941406,6.6372880935668945,2.5206212997436523,0.020618556701030927,0.12371134020618557,0.3170103092783505,0.7731958762886598,0.9252577319587629,1.0
UTSIndoorLoc,uts,11,RC-Direct,7.077484607696533,5.954153060913086,8.788456916809082,9.071191787719727,12.39077701568604,15.944609546661358,29.1131686592102,18.835973739624023,23.60989761352539,37.916866302490234,6.218128204345703,2.323636293411255,0.01804123711340206,0.15979381443298968,0.3865979381443299,0.8092783505154639,0.9304123711340206,1.0
UTSIndoorLoc,uts,11,RC-Loc,7.092149861756727,5.980057066166947,8.806401649008894,9.101237321595987,12.390777539605835,16.08908287059648,29.113167604404392,18.866785190614472,23.515929824221338,37.91686732574405,6.2679731893884885,2.3047577006903928,0.01804123711340206,0.16494845360824742,0.39690721649484534,0.8041237113402062,0.9304123711340206,1.0
UTSIndoorLoc,uts,22,PCA-WKNN,9.045715462537125,7.746992939093929,11.952126095088914,11.044567145808138,16.042774728827176,19.637542096159592,34.679787020461426,25.125965265205952,32.32682589011061,74.36056941466835,7.5864923275294105,3.480444325585254,0.007731958762886598,0.13659793814432988,0.29896907216494845,0.6726804123711341,,
UTSIndoorLoc,uts,22,ExtraTrees,8.321709016186778,7.677814477156457,9.73425767480813,11.041859023758914,14.623266560923549,17.46954405148698,23.1399780522508,18.756644362546037,21.487345610553525,31.02715463932224,7.238885508999381,2.9299904727086203,0.020618556701030927,0.13144329896907217,0.30670103092783507,0.6726804123711341,,
UTSIndoorLoc,uts,22,DNNBN-reimpl,7.396005630493164,6.538895130157471,8.951424598693848,9.637427806854248,13.29956684112549,15.842552518844586,27.89564876556396,18.12749671936035,21.934885025024414,34.728790283203125,6.468249797821045,2.4885427951812744,0.030927835051546393,0.16237113402061856,0.34536082474226804,0.770618556701031,0.9201030927835051,1.0
UTSIndoorLoc,uts,22,CNN-RSS-reimpl,8.825961112976074,7.681968688964844,10.675009727478027,11.950820446014404,15.859210777282716,19.473727989196767,28.863805999755858,21.899452209472656,26.451705932617188,36.68717956542969,7.705086708068848,2.899132251739502,0.020618556701030927,0.11855670103092783,0.2912371134020619,0.6649484536082474,0.845360824742268,1.0
UTSIndoorLoc,uts,22,AaT-base-reimpl,7.522246837615967,6.268405914306641,9.293371200561523,9.81372857093811,13.704179477691653,16.362111473083488,30.18742635726928,19.371660232543945,23.67120361328125,37.52358627319336,6.649912357330322,2.4221200942993164,0.020618556701030927,0.17525773195876287,0.3634020618556701,0.7603092783505154,0.9201030927835051,1.0
UTSIndoorLoc,uts,22,RC-Direct,6.937609672546387,6.014463901519775,8.567789077758789,8.90833854675293,12.12700080871582,15.139094829559319,29.22242296218871,17.811553955078125,22.298412322998047,34.79186248779297,6.142534255981445,2.2084014415740967,0.023195876288659795,0.17010309278350516,0.4097938144329897,0.8247422680412371,0.9278350515463918,1.0
UTSIndoorLoc,uts,22,RC-Loc,6.873742033834531,5.796100234143127,8.505928720961139,8.856268468275651,11.722743654007491,15.173092110701095,29.67310449095174,17.826943388673445,22.295846833889712,33.60883803645244,6.08285251986614,2.1848073247996247,0.03865979381443299,0.18041237113402062,0.4097938144329897,0.8402061855670103,0.9278350515463918,1.0
UTSIndoorLoc,uts,33,PCA-WKNN,7.944338444101324,7.387582066093705,9.457763764184017,10.643747965022415,13.3966415568457,15.72770274501615,26.52422938511311,18.230974436874128,21.852734757329973,39.3635729423212,6.809151527150433,2.81865064808602,0.01288659793814433,0.14432989690721648,0.32216494845360827,0.6958762886597938,,
UTSIndoorLoc,uts,33,ExtraTrees,8.223430144011504,7.332353242004896,9.690586270555082,10.712790140729734,15.103907137977055,17.572982061698323,24.184949904800412,19.124979974425653,21.798233804728035,34.023156449054554,7.194575055932729,2.80831768519924,0.015463917525773196,0.12371134020618557,0.2963917525773196,0.7036082474226805,,
UTSIndoorLoc,uts,33,DNNBN-reimpl,7.257155418395996,6.272605895996094,8.715441703796387,8.797617435455322,12.399402046203615,15.707663345336904,27.76492900848387,18.02239418029785,22.3040771484375,33.38642120361328,6.332927227020264,2.484316349029541,0.015463917525773196,0.12371134020618557,0.3247422680412371,0.8092783505154639,0.9252577319587629,1.0
UTSIndoorLoc,uts,33,CNN-RSS-reimpl,7.932305812835693,6.429488182067871,9.939613342285156,9.864680051803589,16.44730548858643,20.454359722137447,27.765445289611794,21.935245513916016,24.98810386657715,35.3227653503418,6.899642467498779,2.7234411239624023,0.023195876288659795,0.17525773195876287,0.36597938144329895,0.7551546391752577,0.8582474226804123,1.0
UTSIndoorLoc,uts,33,AaT-base-reimpl,7.465212345123291,6.412615776062012,9.135577201843262,9.302387475967407,13.013152885437012,17.582510757446276,29.073697624206535,19.169780731201172,23.500520706176758,37.48078155517578,6.603859901428223,2.3748767375946045,0.01804123711340206,0.14432989690721648,0.36855670103092786,0.7731958762886598,0.9201030927835051,1.0
UTSIndoorLoc,uts,33,RC-Direct,6.8399505615234375,5.951674461364746,8.432738304138184,8.731253147125244,11.305859756469728,14.494132184982293,27.293329772949214,17.58589744567871,22.404457092285156,36.56989288330078,6.002628803253174,2.2188825607299805,0.02577319587628866,0.20103092783505155,0.3917525773195876,0.8427835051546392,0.9201030927835051,1.0
UTSIndoorLoc,uts,33,RC-Loc,6.852364517752427,5.986754719220938,8.47233654385231,8.650081118311729,11.34882350714538,14.25949617721526,27.293329453123505,17.75037094745597,22.65890816719349,36.80165624292654,6.033315760134725,2.2105865001748897,0.023195876288659795,0.19329896907216496,0.37371134020618557,0.8376288659793815,0.9201030927835051,1.0
UTSIndoorLoc,uts,44,PCA-WKNN,8.175967752951971,7.1718503106772555,10.19311979810837,10.352106691224922,14.405219771318658,18.09636160085897,33.813778395742936,21.609053818235086,27.042665347179916,45.13225747648139,7.069521276792748,2.9117585122846115,0.023195876288659795,0.13659793814432988,0.32216494845360827,0.7345360824742269,,
UTSIndoorLoc,uts,44,ExtraTrees,8.360698392475062,7.454458655307933,9.860852563592825,11.116034591558705,15.735344800305201,17.841613580000246,24.212479060331102,19.321514931410686,21.820204257920672,32.20031853333115,7.295013472882861,2.893757538612981,0.010309278350515464,0.13659793814432988,0.3118556701030928,0.6804123711340206,,
UTSIndoorLoc,uts,44,DNNBN-reimpl,7.196505546569824,6.169219017028809,8.730728149414062,9.311219692230225,12.999126243591311,15.673665046691893,28.72399339675903,18.09613609313965,21.673503875732422,31.529773712158203,6.308193683624268,2.4570882320404053,0.01804123711340206,0.16752577319587628,0.3917525773195876,0.7860824742268041,0.9072164948453608,1.0
UTSIndoorLoc,uts,44,CNN-RSS-reimpl,8.524497032165527,7.195130348205566,10.458111763000488,11.310793161392212,15.430394840240481,18.97698183059692,31.94790515899658,21.896352767944336,26.612817764282227,38.432132720947266,7.343069076538086,3.0433356761932373,0.01288659793814433,0.14432989690721648,0.30412371134020616,0.7061855670103093,0.8556701030927835,1.0
