dataset,seed,method,estimator,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,parameters,train_seconds,best_epoch,trained_epochs
UJIIndoorLoc,22,RC-NoConsistency,fused,clean,1111.0,8.55872615493173,6.377805279482273,11.541395749975964,11.113329309712286,17.614909325631658,22.550117643505143,0.2025202520252025,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,direct,device_offset_-6db,1111.0,9.376328468322754,7.78327465057373,12.17106819152832,11.824504375457764,17.53594398498535,22.461827278137207,0.1386138613861386,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,fused,device_offset_-6db,1111.0,8.70452322342982,6.598431812371166,11.78384380676654,11.183179929731718,17.479884283698148,22.08289009919829,0.1971197119711971,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,direct,persistent_bias_8db,1111.0,9.850378036499023,7.830523490905762,12.68169116973877,13.004631996154783,19.274452209472656,23.94115161895752,0.1314131413141314,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,fused,persistent_bias_8db,1111.0,9.044710420200303,6.868619798135654,12.070230124927756,12.120203318030136,18.726084404270424,22.934317125186297,0.1845184518451845,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,direct,top20_outage,1111.0,33.324153900146484,15.516139030456545,54.24101257324219,34.080135345458984,101.42668151855467,137.47249603271484,0.0513051305130513,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,fused,top20_outage,1111.0,32.40988912910706,14.067251021705635,54.11906491599866,32.24540432195842,101.42668330164057,137.47249266630706,0.0882088208820882,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,direct,top20_outage_plus_bias4db,1111.0,33.06441116333008,15.187736511230469,53.82846832275391,33.19241905212402,99.82373809814452,137.1261215209961,0.0486048604860486,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoConsistency,fused,top20_outage_plus_bias4db,1111.0,32.1487877649553,14.561307004813036,53.56805873398147,32.00593716603701,98.83571371864734,137.12611592585085,0.0837083708370837,2972146,177.01097070006654,72,102
UJIIndoorLoc,22,RC-NoCorruption,direct,clean,1111.0,9.53834342956543,7.199357032775879,13.37587547302246,11.986909866333008,18.877092361450195,24.48805427551269,0.1692169216921692,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,fused,clean,1111.0,8.949890040565103,6.513293324424435,12.794338233493187,10.816209937199323,18.20879140024273,24.610418375125835,0.2106210621062106,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,direct,device_offset_-6db,1111.0,10.289180755615234,7.523270130157471,15.3646879196167,12.42823600769043,19.653053283691406,27.028289794921875,0.1503150315031503,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,fused,device_offset_-6db,1111.0,9.712939134365154,6.809093389035661,14.84837435221006,11.500962811093492,18.992841411316054,26.49170599550789,0.189018901890189,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,direct,persistent_bias_8db,1111.0,10.024099349975586,7.513853073120117,13.960789680480955,12.495121002197266,19.684221267700195,26.40235996246338,0.153015301530153,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,fused,persistent_bias_8db,1111.0,9.340572693974991,6.758646112110931,13.2218846462249,11.676773036469957,18.20212056666566,24.886544590699465,0.1881188118811881,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,direct,top20_outage,1111.0,54.3409309387207,20.31877326965332,80.92743682861328,91.26970672607422,156.84561157226562,170.67605590820312,0.0396039603960396,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,fused,top20_outage,1111.0,54.34400468207153,18.65133707395344,82.35752197448944,98.7176547122521,163.456369410852,175.0500301606384,0.0531053105310531,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,direct,top20_outage_plus_bias4db,1111.0,53.6613655090332,20.497467041015625,80.42289733886719,89.242431640625,156.45529174804688,171.05860900878906,0.0423042304230423,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoCorruption,fused,top20_outage_plus_bias4db,1111.0,53.64714599917991,18.55651510643954,81.91886407991295,97.05736124336944,164.0043529651298,173.9952425353103,0.0567056705670567,2972146,285.3479163998272,177,200
UJIIndoorLoc,22,RC-NoMask,direct,clean,1111.0,8.551340103149414,6.703188896179199,11.46310806274414,10.855218887329102,16.70811653137207,22.79997730255127,0.1899189918991899,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,fused,clean,1111.0,8.357751638611113,6.5887527098060925,11.262107763216488,10.521135252998002,16.22347108315229,22.46129688054569,0.2052205220522052,2856050,353.980434200028,188,200
UJIIndoorLoc,22,RC-NoMask,direct,device_offset_-6db,1111.0,8.465910911560059,6.745120048522949,11.221843719482422,10.613842010498049,16.403104782104492,20.925652503967285,0.1647164716471647,2856050,353.980434200028,188,200
