dataset,seed,method,gamma,k,power,blend,val_n,val_mean_m,val_median_m,val_rmse_m,val_p75_m,val_p90_m,val_p95_m,val_within_3m
UJIIndoorLoc,33,RC-NoCorruption,1.0,5,2.0,0.7,3604.0,7.551436539841021,5.390585001182261,12.535726008036294,9.311170062532844,14.390337071899364,18.433744944263346,0.2308546059933407
UJIIndoorLoc,33,RC-NoMask,0.5,5,2.0,0.85,3604.0,7.574567853101365,5.129292272262183,12.78611405697877,9.217454425048444,14.899133512495167,19.561300164786743,0.2475027746947835
UJIIndoorLoc,33,RC-NoReconstruction,0.0,5,2.0,"('adaptive', 0.3, 16.129258071489787)",3604.0,7.704329990155047,5.310499993975778,12.956722474771691,9.517975159381036,14.50309394636004,19.921436090481084,0.2339067702552719
UJIIndoorLoc,44,RC-NoAugCoord,2.0,11,2.0,0.85,3699.0,6.314359784029168,4.900868007986328,8.310973512703576,8.488661042079473,12.511284971585305,15.28049315784268,0.2833198161665315
UJIIndoorLoc,44,RC-NoCoarseHeads,1.0,5,1.0,0.85,3699.0,5.987192494400164,4.440644363760067,8.096492666339456,7.796694669710181,12.215927584269943,14.497639816113708,0.3022438496891051
UJIIndoorLoc,44,RC-NoConsistency,2.0,11,1.0,0.7,3699.0,6.414394472863987,4.850716904834325,8.43634756600445,8.700130386485785,12.887108843042816,15.284498056047392,0.2773722627737226
UJIIndoorLoc,44,RC-NoCorruption,2.0,17,1.0,0.7,3699.0,6.508178539286991,4.978024119658816,8.742730594909917,8.647749210032192,12.573450660580132,16.05193149066179,0.2525006758583401
UJIIndoorLoc,44,RC-NoMask,2.0,5,2.0,0.5,3699.0,6.785603863099577,5.356044302303422,8.82017658070792,8.894838571999724,13.247917641040676,16.534132684583266,0.2357393890240605
UJIIndoorLoc,44,RC-NoReconstruction,2.0,17,2.0,"('adaptive', 0.0, 15.128836908667031)",3699.0,6.750148283876781,5.350380321322833,8.823002627110448,8.930004797446301,13.464969450009807,16.368354454581503,0.2484455258177886
UJIIndoorLoc,55,RC-NoAugCoord,2.0,17,2.0,0.85,3620.0,6.88267235663362,5.290950874579592,11.11395128309197,8.81277298664839,12.299218947804464,15.679328204666716,0.2273480662983425
UJIIndoorLoc,55,RC-NoCoarseHeads,1.0,17,1.0,"('adaptive', 0.3, 13.573456214404574)",3620.0,6.7091813147047725,4.856175608422664,11.102174184232227,8.312317990078075,13.033742644564324,15.717974417534744,0.2569060773480663
UJIIndoorLoc,55,RC-NoConsistency,0.0,17,2.0,"('adaptive', 0.3, 18.340013886157173)",3620.0,7.046603602983613,5.34867812024293,11.31903914480466,8.983408528707429,13.07380539388266,16.491445271744112,0.2353591160220994
UJIIndoorLoc,55,RC-NoCorruption,1.0,3,2.0,0.85,3620.0,7.317705121015645,5.397668667601591,11.60018603779295,9.409220467479804,13.918811169048906,17.826764150321743,0.2232044198895027
UJIIndoorLoc,55,RC-NoMask,0.25,11,2.0,"('adaptive', 0.3, 10.753163311669843)",3620.0,7.126772468524326,5.302073562790717,11.46607035293138,9.233931714921727,13.190318805176435,16.922841327879805,0.2243093922651933
UJIIndoorLoc,55,RC-NoReconstruction,0.0,3,1.0,0.85,3620.0,6.839200495054762,5.091195818852185,11.154223035242916,8.551695582656857,12.937217805786474,16.236876579611646,0.2370165745856353
UTSIndoorLoc,11,RC-NoAugCoord,0.25,3,2.0,"('adaptive', 0.3, 2.8374760150909424)",1682.0,4.120446667056401,3.066599765787872,5.335701556065817,5.48727248375827,7.973520919030776,11.045386725519394,0.4875148632580262
UTSIndoorLoc,11,RC-NoCoarseHeads,1.0,5,1.0,0.7,1682.0,4.113764433435375,3.0538043354724937,5.468062425228042,5.217300987310554,8.040706842155998,10.726360284378233,0.4756242568370987
UTSIndoorLoc,11,RC-NoConsistency,0.25,3,1.0,"('adaptive', 0.3, 2.852543830871597)",1682.0,4.036171093297972,3.053730674753907,5.310136617864237,5.1780645375710845,7.958973162269523,11.06907972816868,0.4744351961950059
UTSIndoorLoc,11,RC-NoCorruption,2.0,7,2.0,0.5,1682.0,4.315922276829028,3.228891277911591,5.540181425392999,5.5555415633391245,8.461810905005295,10.80777024600146,0.4595719381688466
