dataset,seed,method,scenario,p90_m,mean_m
UJIIndoorLoc,44,RC-NoAugCoord,device_offset_-6db,16.266575037680585,8.384794754546565
UJIIndoorLoc,44,RC-NoAugCoord,persistent_bias_8db,16.04287154699177,8.531866959369955
UJIIndoorLoc,44,RC-NoAugCoord,top20_outage,72.36186768532613,28.56996652894469
UJIIndoorLoc,44,RC-NoAugCoord,top20_outage_plus_bias4db,71.42348286062845,28.81508710022328
UJIIndoorLoc,44,RC-NoCoarseHeads,clean,15.95772289722396,7.844721995524628
UJIIndoorLoc,44,RC-NoCoarseHeads,device_offset_-6db,16.47104608492127,8.289043387821653
UJIIndoorLoc,44,RC-NoCoarseHeads,persistent_bias_8db,16.649281436734867,8.261892236974587
UJIIndoorLoc,44,RC-NoCoarseHeads,top20_outage,76.33654184601383,33.77829357850986
UJIIndoorLoc,44,RC-NoCoarseHeads,top20_outage_plus_bias4db,75.53442430587792,33.8997939183809
UJIIndoorLoc,44,RC-NoConsistency,clean,16.067543140806578,8.130554564430467
UJIIndoorLoc,44,RC-NoConsistency,device_offset_-6db,16.301634632254494,8.314119893185621
UJIIndoorLoc,44,RC-NoConsistency,persistent_bias_8db,16.453961171813077,8.424436121231048
UJIIndoorLoc,44,RC-NoConsistency,top20_outage,74.4817632798398,28.390774253901096
UJIIndoorLoc,44,RC-NoConsistency,top20_outage_plus_bias4db,71.46312340546388,28.20579859941944
UJIIndoorLoc,44,RC-NoCorruption,clean,17.08966458849499,8.791805157425493
UJIIndoorLoc,44,RC-NoCorruption,device_offset_-6db,18.569347914493445,9.461374452577871
UJIIndoorLoc,44,RC-NoCorruption,persistent_bias_8db,18.459752023397723,9.287394964397809
UJIIndoorLoc,44,RC-NoCorruption,top20_outage,146.56862015914143,54.80457026403734
UJIIndoorLoc,44,RC-NoCorruption,top20_outage_plus_bias4db,147.1756083335296,56.74533253432556
UJIIndoorLoc,44,RC-NoMask,clean,16.24984793374969,8.256392628366006
UJIIndoorLoc,44,RC-NoMask,device_offset_-6db,16.497872638347232,8.576569758726073
UJIIndoorLoc,44,RC-NoMask,persistent_bias_8db,16.753964149899996,8.404486098160174
UJIIndoorLoc,44,RC-NoMask,top20_outage,82.17824037209125,27.871333771876703
UJIIndoorLoc,44,RC-NoMask,top20_outage_plus_bias4db,78.99589054983086,26.895450625048028
UJIIndoorLoc,44,RC-NoReconstruction,clean,16.62705943695202,8.233558801992801
UJIIndoorLoc,44,RC-NoReconstruction,device_offset_-6db,16.617981241144513,8.397158665150092
UJIIndoorLoc,44,RC-NoReconstruction,persistent_bias_8db,17.45385074728739,8.513246188704553
UJIIndoorLoc,44,RC-NoReconstruction,top20_outage,77.97544615129604,28.362366268361026
UJIIndoorLoc,44,RC-NoReconstruction,top20_outage_plus_bias4db,77.0532307135632,27.89109935096183
UJIIndoorLoc,55,RC-NoAugCoord,clean,16.764922651615972,8.296221532926237
UJIIndoorLoc,55,RC-NoAugCoord,device_offset_-6db,16.640649429016452,8.59248703514831
UJIIndoorLoc,55,RC-NoAugCoord,persistent_bias_8db,17.396138017580526,8.636014032951172
UJIIndoorLoc,55,RC-NoAugCoord,top20_outage,71.15171637398669,26.68044508893537
UJIIndoorLoc,55,RC-NoAugCoord,top20_outage_plus_bias4db,70.26764979986405,26.06791603905913
UJIIndoorLoc,55,RC-NoCoarseHeads,clean,16.444884904495705,7.686882648174591
UJIIndoorLoc,55,RC-NoCoarseHeads,device_offset_-6db,16.05314657886332,7.992525434689012
UJIIndoorLoc,55,RC-NoCoarseHeads,persistent_bias_8db,17.130830563948635,8.202168662891017
UJIIndoorLoc,55,RC-NoCoarseHeads,top20_outage,73.41979881414929,27.92144688190493
UJIIndoorLoc,55,RC-NoCoarseHeads,top20_outage_plus_bias4db,74.15070354265524,28.564642511401072
UJIIndoorLoc,55,RC-NoConsistency,clean,16.22736604738987,7.954748644402099
UJIIndoorLoc,55,RC-NoConsistency,device_offset_-6db,16.170048154394745,8.220207913050036
UJIIndoorLoc,55,RC-NoConsistency,persistent_bias_8db,16.66243024469471,8.4389642162554
UJIIndoorLoc,55,RC-NoConsistency,top20_outage,86.24177580613444,29.712830305259512
UJIIndoorLoc,55,RC-NoConsistency,top20_outage_plus_bias4db,82.83702228155693,29.647669935607183
UJIIndoorLoc,55,RC-NoCorruption,clean,17.2426720533431,8.978278236360074
UJIIndoorLoc,55,RC-NoCorruption,device_offset_-6db,18.38221210401212,9.72798080761437
UJIIndoorLoc,55,RC-NoCorruption,persistent_bias_8db,18.447424162098933,9.338440623467958
UJIIndoorLoc,55,RC-NoCorruption,top20_outage,144.2264460125407,55.97856934136367
UJIIndoorLoc,55,RC-NoCorruption,top20_outage_plus_bias4db,132.84785765524714,53.92813755244621
UJIIndoorLoc,55,RC-NoMask,clean,15.749067558964306,8.281394556095394
UJIIndoorLoc,55,RC-NoMask,device_offset_-6db,15.75441728439828,8.344951268405596
UJIIndoorLoc,55,RC-NoMask,persistent_bias_8db,17.610885819322142,8.546532802657087
UJIIndoorLoc,55,RC-NoMask,top20_outage,82.75421410747109,28.452459620701685
UJIIndoorLoc,55,RC-NoMask,top20_outage_plus_bias4db,85.22027811597471,28.18625424004748
UJIIndoorLoc,55,RC-NoReconstruction,clean,16.52157072037179,8.295296957812642
UJIIndoorLoc,55,RC-NoReconstruction,device_offset_-6db,17.158469077309643,8.674878358434885
