dataset,seed,retain_fraction,p90_m
UJIIndoorLoc,55,0.1,8.361846454372653
UJIIndoorLoc,55,0.2,9.890600133970594
UJIIndoorLoc,55,0.30000000000000004,10.82834413239654
UJIIndoorLoc,55,0.4,11.614203296105485
UJIIndoorLoc,55,0.5,12.3997369451573
UJIIndoorLoc,55,0.6,12.676581249305952
UJIIndoorLoc,55,0.7000000000000001,12.985718160130313
UJIIndoorLoc,55,0.8,14.399100817615041
UJIIndoorLoc,55,0.9,15.518700265181328
UJIIndoorLoc,55,1.0,16.970200051979795
UTSIndoorLoc,11,0.1,16.876139529992976
UTSIndoorLoc,11,0.2,12.165197289980583
UTSIndoorLoc,11,0.30000000000000004,13.54112551564061
UTSIndoorLoc,11,0.4,11.124678662027286
UTSIndoorLoc,11,0.5,11.320837358719475
UTSIndoorLoc,11,0.6,11.3540288348966
UTSIndoorLoc,11,0.7000000000000001,11.830702601484692
UTSIndoorLoc,11,0.8,11.865897095647828
UTSIndoorLoc,11,0.9,11.890163882847805
UTSIndoorLoc,11,1.0,12.390777539605835
UTSIndoorLoc,22,0.1,10.870031223711525
UTSIndoorLoc,22,0.2,10.05482231746383
UTSIndoorLoc,22,0.30000000000000004,11.652751864066795
UTSIndoorLoc,22,0.4,11.833080435495708
UTSIndoorLoc,22,0.5,11.649259901743452
UTSIndoorLoc,22,0.6,11.695843940904764
UTSIndoorLoc,22,0.7000000000000001,11.599373178946365
UTSIndoorLoc,22,0.8,11.616333574792137
UTSIndoorLoc,22,0.9,11.463690012180194
UTSIndoorLoc,22,1.0,11.722743654007491
UTSIndoorLoc,33,0.1,10.25898316674682
UTSIndoorLoc,33,0.2,10.342826121423924
UTSIndoorLoc,33,0.30000000000000004,9.969544067037793
UTSIndoorLoc,33,0.4,9.98983626543026
UTSIndoorLoc,33,0.5,10.91882319887856
UTSIndoorLoc,33,0.6,10.464012999964554
UTSIndoorLoc,33,0.7000000000000001,10.856899128367623
UTSIndoorLoc,33,0.8,11.020578539805067
UTSIndoorLoc,33,0.9,11.249561201618599
UTSIndoorLoc,33,1.0,11.34882350714538
UTSIndoorLoc,44,0.1,12.663612903984404
UTSIndoorLoc,44,0.2,11.261897123832416
UTSIndoorLoc,44,0.30000000000000004,10.846146247795803
UTSIndoorLoc,44,0.4,10.508604877002622
UTSIndoorLoc,44,0.5,10.87030487120104
UTSIndoorLoc,44,0.6,10.878357745669451
UTSIndoorLoc,44,0.7000000000000001,11.806011623406784
UTSIndoorLoc,44,0.8,11.4469799157559
UTSIndoorLoc,44,0.9,11.84980612147034
UTSIndoorLoc,44,1.0,11.774627820915773
UTSIndoorLoc,55,0.1,14.774520515058331
UTSIndoorLoc,55,0.2,12.643694575262787
UTSIndoorLoc,55,0.30000000000000004,12.732298733156004
UTSIndoorLoc,55,0.4,11.756338124297613
