dataset,seed,outage_fraction,bias_sd_db,method,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m
UJIIndoorLoc,22,0.0,4.0,RC-Direct,1111.0,8.599563598632812,6.649450778961182,11.395506858825684,10.986187934875488,17.333629608154297,21.82861328125,0.18181818181818182
UJIIndoorLoc,22,0.0,4.0,RC-Loc,1111.0,8.29645871386782,6.280425587724835,11.163674281446267,10.562071922770073,17.07081980899977,21.916024788939918,0.20972097209720972
UJIIndoorLoc,22,0.0,8.0,PCA-WKNN,1111.0,9.734574625243809,6.083667832427272,17.82555636581454,11.70139829630521,19.838591570670882,27.14269404064357,0.23582358235823583
UJIIndoorLoc,22,0.0,8.0,AaT-base-reimpl,1111.0,10.003464698791504,8.120686531066895,13.085185050964355,12.55965805053711,19.032289505004883,24.768583297729492,0.13141314131413143
UJIIndoorLoc,22,0.0,8.0,RC-Direct,1111.0,9.460987091064453,7.212890625,12.662581443786621,11.90479564666748,18.345767974853516,24.45951557159424,0.13681368136813682
UJIIndoorLoc,22,0.0,8.0,RC-Loc,1111.0,9.18970478676761,6.907456512700859,12.527080059283113,11.44771704505192,18.096282966163724,24.37500643383045,0.1638163816381638
UJIIndoorLoc,22,0.1,0.0,PCA-WKNN,1111.0,33.83140446307587,7.992427768396186,63.33190129817832,23.344298282716615,134.82910257355007,167.41971117224244,0.21332133213321333
UJIIndoorLoc,22,0.1,0.0,AaT-base-reimpl,1111.0,23.96175765991211,8.815911293029785,50.329139709472656,16.623934745788574,61.589874267578125,140.63333892822266,0.13681368136813682
UJIIndoorLoc,22,0.1,0.0,RC-Direct,1111.0,20.152667999267578,8.102182388305664,45.53040313720703,16.330049514770508,38.1009407043457,85.25834655761719,0.1548154815481548
UJIIndoorLoc,22,0.1,0.0,RC-Loc,1111.0,19.776848788578786,7.871065534441712,45.19948437944898,15.893771329516781,38.100941868651766,85.25834821613304,0.17551755175517553
UJIIndoorLoc,22,0.1,4.0,PCA-WKNN,1111.0,33.40316637705882,8.031219871030604,62.79350852889767,23.692011563081614,135.42108199417598,167.33405369588212,0.20432043204320433
UJIIndoorLoc,22,0.1,4.0,AaT-base-reimpl,1111.0,23.516359329223633,8.728019714355469,49.377601623535156,16.989248275756836,57.79736328125,134.13904571533203,0.1323132313231323
UJIIndoorLoc,22,0.1,4.0,RC-Direct,1111.0,20.251625061035156,8.332926750183105,45.27454376220703,16.008569717407227,40.99620056152344,85.05326843261719,0.16111611161116113
UJIIndoorLoc,22,0.1,4.0,RC-Loc,1111.0,19.84045652710689,7.999966811928895,44.74228658838876,15.70844708198658,40.68176067616073,86.75697600013169,0.1782178217821782
UJIIndoorLoc,22,0.1,8.0,PCA-WKNN,1111.0,32.883590879835126,8.100490634240044,62.310858172690295,21.628021059285384,137.9007589830783,167.09653500815307,0.1998199819981998
UJIIndoorLoc,22,0.1,8.0,AaT-base-reimpl,1111.0,23.365137100219727,9.467313766479492,48.45310592651367,18.17222785949707,50.25514602661133,131.4065170288086,0.13051305130513052
UJIIndoorLoc,22,0.1,8.0,RC-Direct,1111.0,19.77066421508789,8.650849342346191,43.274837493896484,16.620305061340332,43.092803955078125,78.38777160644531,0.1548154815481548
UJIIndoorLoc,22,0.1,8.0,RC-Loc,1111.0,19.355957716771513,7.99767253649477,42.9516805469707,16.390845389310407,42.29176118251142,78.27033218695354,0.16471647164716471
UJIIndoorLoc,22,0.2,0.0,PCA-WKNN,1111.0,71.17703403604914,28.03536549832168,101.51332402982597,146.3754148395651,177.0272422948077,189.76422945568402,0.07920792079207921
UJIIndoorLoc,22,0.2,0.0,AaT-base-reimpl,1111.0,46.0919303894043,17.50481605529785,74.4105453491211,60.17897415161133,147.08395385742188,178.50098419189453,0.054005400540054004
UJIIndoorLoc,22,0.2,0.0,RC-Direct,1111.0,29.79681968688965,12.498680114746094,55.192867279052734,27.66761589050293,89.20551300048828,136.24867248535156,0.07560756075607561
UJIIndoorLoc,22,0.2,0.0,RC-Loc,1111.0,29.38917868227642,11.924749174901113,54.81281218428506,27.178498143156638,89.20550856259764,136.24866908458125,0.08640864086408641
UJIIndoorLoc,22,0.2,4.0,PCA-WKNN,1111.0,70.91885785541466,26.541522957384235,101.57816274770991,150.6678451398992,178.42211840223905,190.38617873628306,0.0846084608460846
UJIIndoorLoc,22,0.2,4.0,AaT-base-reimpl,1111.0,46.81859588623047,18.2029972076416,75.04019927978516,58.1126766204834,147.4722442626953,178.67616271972656,0.050405040504050404
UJIIndoorLoc,22,0.2,4.0,RC-Direct,1111.0,30.633100509643555,13.036575317382812,56.20030212402344,28.588848114013672,92.7203369140625,140.70057678222656,0.07920792079207921
