dataset,scenario,method,n_seeds,mean_error_mean_m,mean_error_std_m,p90_mean_m,p90_std_m,p95_mean_m,p95_std_m
UJIIndoorLoc,top_ap_outage=0.10,RC-Direct,5,17.827252197265626,2.254965129655436,35.74843788146973,6.365229488135107,74.11102638244628,16.896201438430634
UJIIndoorLoc,top_ap_outage=0.10,RC-Loc,5,17.55432483408592,2.2185460907710333,36.194252393324284,5.810443713286102,75.14879144778986,15.659745221279184
UJIIndoorLoc,top_ap_outage=0.20,AaT-base-reimpl,5,38.74273796081543,6.218398959774832,109.95842895507812,30.88993417178845,138.70087661743165,30.486814310482714
UJIIndoorLoc,top_ap_outage=0.20,PCA-WKNN,5,72.58306063749484,3.5733755593707963,203.46946195553065,19.368557923035034,224.4302805898023,22.052656758064767
UJIIndoorLoc,top_ap_outage=0.20,RC-Direct,5,29.718273162841797,4.218246758161382,88.17625579833984,16.308843193722037,127.11283340454102,23.6233515055203
UJIIndoorLoc,top_ap_outage=0.20,RC-Loc,5,29.633790101853823,4.300578555650118,88.55277480829425,15.133851619948407,126.6940416112385,23.259965678646214
UJIIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,AaT-base-reimpl,5,38.45065689086914,5.881776851077664,109.93144989013672,30.99520573390438,138.0632469177246,29.546350789650475
UJIIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,PCA-WKNN,5,71.67916990380022,2.9974124165326597,203.69391008685622,19.370905135332556,224.29493491744643,20.622169669428708
UJIIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,RC-Direct,5,29.806358337402344,4.375451005154083,88.65581665039062,17.89749043209557,128.07096405029296,23.435035359506802
UJIIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,RC-Loc,5,29.685925724186802,4.497580925269637,88.58587199896347,16.86710301052907,127.1116748492977,23.322881604337027
UJIIndoorLoc,top_ap_outage=0.30,AaT-base-reimpl,5,55.692213439941405,5.9151624431653085,145.48846740722655,20.868184773092416,195.33025512695312,28.06973791514696
UJIIndoorLoc,top_ap_outage=0.30,PCA-WKNN,5,105.1266501095298,4.909139822352184,230.44809466167416,19.75660981992707,242.17637563392026,18.969857010180984
