dataset,seed,method,mean_m,median_m,p90_m,p95_m,within_3m,floor_accuracy,building_accuracy
Tampere,11,AaT-base-reimpl,9.52291202545166,9.08172607421875,16.425654792785643,19.689581298828102,0.1048879837067209,0.8279022403258656,1.0
Tampere,22,AaT-base-reimpl,8.552351951599121,7.773702621459961,15.18746747970581,17.08694019317625,0.1181262729124236,0.8095723014256619,1.0
Tampere,33,AaT-base-reimpl,9.306756019592283,8.687932968139648,15.893590450286863,18.37612924575805,0.0926680244399185,0.8818737270875764,1.0
Tampere,44,AaT-base-reimpl,10.242342948913574,9.349443435668944,18.61177673339844,21.357554817199706,0.1008146639511201,0.8503054989816701,1.0
Tampere,55,AaT-base-reimpl,8.97418212890625,8.581525802612305,15.830625629425048,17.813554763793945,0.1140529531568228,0.8961303462321792,1.0
UJI-Library-25M,11,AaT-base-reimpl,3.5273983478546143,3.138240337371826,6.7262508392334,8.180430746078493,0.4774743589743589,1.0,1.0
UJI-Library-25M,22,AaT-base-reimpl,3.302278995513916,3.022590160369873,6.042559909820557,7.224787068367005,0.4960384615384615,1.0,1.0
UJI-Library-25M,33,AaT-base-reimpl,3.2106423377990723,3.016977310180664,5.699941968917847,6.557239651679994,0.497025641025641,1.0,1.0
UJI-Library-25M,44,AaT-base-reimpl,3.2095305919647217,2.9343128204345703,5.751027536392212,6.810888981819153,0.5107948717948718,1.0,1.0
UJI-Library-25M,55,AaT-base-reimpl,3.3315601348876958,3.0442004203796387,6.138025236129761,7.282022190093997,0.4936538461538461,1.0,1.0
UJIIndoorLoc,11,RC-Loc,8.361501634749139,6.522805717056937,15.831565785472073,20.881255772404835,0.1989198919891989,0.9072907290729072,0.9990999099909992
UJIIndoorLoc,22,RC-Loc,8.203123814761014,6.260303093426752,16.589343952526082,22.074561862820534,0.2088208820882088,0.9153915391539154,0.9990999099909992
UJIIndoorLoc,33,RC-Loc,8.219085366542366,6.195432342433783,15.972108063484814,20.60814442372912,0.1917191719171917,0.9126912691269128,0.9990999099909992
UJIIndoorLoc,44,RC-Loc,7.78724497640263,6.011160215910854,15.43306820688406,20.47015039569707,0.243024302430243,0.9207920792079208,0.9990999099909992
UJIIndoorLoc,55,RC-Loc,8.21090638519448,6.168888963179598,16.970200051979795,21.73394285916927,0.2196219621962196,0.9126912691269128,0.9990999099909992
UTSIndoorLoc,11,RC-Loc,7.092149861756727,5.980057066166947,12.390777539605835,16.08908287059648,0.1649484536082474,0.9304123711340206,1.0
UTSIndoorLoc,22,RC-Loc,6.873742033834531,5.796100234143127,11.722743654007491,15.173092110701097,0.1804123711340206,0.9278350515463918,1.0
UTSIndoorLoc,33,RC-Loc,6.852364517752427,5.986754719220938,11.34882350714538,14.25949617721526,0.1932989690721649,0.9201030927835052,1.0
UTSIndoorLoc,44,RC-Loc,6.758469646915311,5.83023557988058,11.774627820915772,14.848939258784716,0.2010309278350515,0.9458762886597938,1.0
UTSIndoorLoc,55,RC-Loc,7.1935715677894,6.203158156399586,12.369251982444087,15.688868801010011,0.1804123711340206,0.9278350515463918,1.0
Tampere,11,RC-Loc,6.95001148756946,6.320889939022937,12.750068729903038,14.079661536064112,0.1945010183299389,0.9134419551934828,1.0
Tampere,22,RC-Loc,7.036752322151911,6.382389115293092,12.863106490505205,14.941509396493451,0.1965376782077393,0.9185336048879836,1.0
Tampere,33,RC-Loc,7.074607460187451,6.463873316170684,13.13342499825414,15.002668057070464,0.2036659877800407,0.9215885947046843,1.0
Tampere,44,RC-Loc,6.985261517374823,6.327133127470763,12.83743979310577,14.43640363403238,0.2026476578411405,0.9226069246435844,1.0
Tampere,55,RC-Loc,7.262982983354813,6.834942057624692,12.823121289657037,14.312555019655212,0.1629327902240326,0.910386965376782,1.0
UJI-Library-25M,11,RC-Loc,2.898913636871265,2.4382648298192304,5.732429815300211,6.821071026313297,0.6051282051282051,1.0,1.0
UJI-Library-25M,22,RC-Loc,2.591660964512463,2.224501591150382,4.906127568406088,5.933775887883237,0.6721923076923076,1.0,1.0
UJI-Library-25M,33,RC-Loc,2.618368152040049,2.320134348812573,4.747995968711106,5.815481480903651,0.6689487179487179,1.0,1.0
UJI-Library-25M,44,RC-Loc,2.758668916393926,2.4408304356451,5.13352196698975,6.065659411950164,0.6117051282051282,1.0,1.0
UJI-Library-25M,55,RC-Loc,2.6716151997732887,2.2842121847438057,5.090778671897889,6.214620452160674,0.6394358974358975,1.0,1.0
