dataset,seed,method,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,floor_accuracy,floor_unknown_fraction,building_accuracy,building_unknown_fraction,train_seconds,latency_ms_per_sample,best_epoch
UJIIndoorLoc,55,RC-Direct,clean,1111.0,8.600445747375488,6.449797630310059,11.518697738647461,11.13647747039795,17.3873233795166,22.34542751312256,0.1854185418541854,0.9126912691269127,0.0,0.9990999099909991,0.0,245.64518900006078,0.1254187218683942,176
UJIIndoorLoc,55,RC-Loc,"drop=0.2,noise=0",1111.0,9.290534148365836,6.9509120097124635,12.848344575893686,11.519971001540714,18.469777557910966,25.725500633762366,0.17641764176417643,,,,,245.64518900006078,0.1254187218683942,176
UJIIndoorLoc,55,RC-Loc,"drop=0.4,noise=0",1111.0,11.431637687225745,8.37039126084433,16.4845396554608,14.605767941454058,21.95882857723211,29.558536526296862,0.1224122412241224,,,,,245.64518900006078,0.1254187218683942,176
UJIIndoorLoc,55,RC-Loc,"drop=0.6,noise=0",1111.0,16.25153446624906,10.944507424958118,24.899644240443116,20.079584195597878,34.09926121168722,45.98355664329769,0.08640864086408641,,,,,245.64518900006078,0.1254187218683942,176
UJIIndoorLoc,55,RC-Loc,"drop=0.2,noise=2",1111.0,9.376015188856488,7.051408882389678,12.958441027446609,11.746723958994735,18.934496290654863,25.11052130312016,0.17371737173717372,,,,,245.64518900006078,0.1254187218683942,176
UJIIndoorLoc,55,RC-Loc,"drop=0.2,noise=4",1111.0,9.542852684572615,7.235160015001891,13.133378156869812,11.974764999933786,19.19150453487834,25.852386338379016,0.17371737173717372,,,,,245.64518900006078,0.1254187218683942,176
UJIIndoorLoc,55,RC-Loc,"drop=0.2,noise=6",1111.0,9.731344838306953,7.402223047848876,13.340603078917121,12.240309881902839,19.631488060813528,26.32528872809364,0.1719171917191719,,,,,245.64518900006078,0.1254187218683942,176
UTSIndoorLoc,11,RC-Loc,clean,388.0,7.092149861756727,5.980057066166947,8.806401649008894,9.101237321595987,12.390777539605835,16.08908287059648,0.16494845360824742,0.9304123711340206,0.0,1.0,0.0,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,11,RC-Direct,clean,388.0,7.077484607696533,5.954153060913086,8.788456916809082,9.071191787719727,12.39077701568604,15.944609546661358,0.15979381443298968,0.9304123711340206,0.0,1.0,0.0,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,11,RC-Loc,"drop=0.2,noise=0",388.0,7.473581442741822,6.39101234868745,9.208978214891879,9.488636397959814,13.13657872787791,16.620526725075944,0.15721649484536082,,,,,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,11,RC-Loc,"drop=0.4,noise=0",388.0,8.339237682768145,6.898549902681696,10.329028097179997,11.194738813685664,14.965754593245371,21.10490298987407,0.16237113402061856,,,,,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,11,RC-Loc,"drop=0.6,noise=0",388.0,10.132070652665067,8.700214950056933,12.472010578062145,12.935401515659766,19.521050060624365,23.608080882991306,0.12886597938144329,,,,,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,11,RC-Loc,"drop=0.2,noise=2",388.0,7.423240755873762,6.402474303365924,9.15064913552972,9.497325614582685,12.982353462375064,16.299897741715174,0.16237113402061856,,,,,74.59868689998984,0.14872835065747045,104
UTSIndoorLoc,11,RC-Loc,"drop=0.2,noise=4",388.0,7.4415096469787025,6.473913639348254,9.150576930162568,9.531982421545479,12.878918704666122,16.23359650146344,0.16237113402061856,,,,,74.59868689998984,0.14872835065747045,104
